,Date,Max_Drawdown,Drawdown
76,2017-04-25 00:00:00,-0.0007806521616578521,-0.0005527565386802394
77,2017-04-26 00:00:00,-0.002013877455259621,-0.0009875681627730599
78,2017-04-27 00:00:00,-0.007194357060890253,-0.007194357060890253
79,2017-04-28 00:00:00,-0.007293533867875865,-0.007293533867875865
80,2017-05-02 00:00:00,-0.002488899027057957,-0.00020780927941149217
81,2017-05-03 00:00:00,-0.0006380433646150254,-0.00042052160920150747
82,2017-05-04 00:00:00,-0.006850868076331702,-0.006850868076331702
83,2017-05-05 00:00:00,-0.002761286494422898,-0.0006963127168263776
84,2017-05-08 00:00:00,-0.0007481959843678982,-0.00026378511009790984
85,2017-05-09 00:00:00,-0.0007565116138679766,-0.0005841380473315298
86,2017-05-10 00:00:00,-0.0006410391953436683,-0.0006410391953436683
