Datetime,Equity_Value,Date
2017-10-27 10:44:00,1092640.05,2017-10-27
2017-10-27 10:45:00,1092639.2,2017-10-27
2017-10-27 10:46:00,1092642.45,2017-10-27
2017-10-27 10:47:00,1092636.95,2017-10-27
2017-10-27 10:48:00,1092637.55,2017-10-27
2017-10-27 10:49:00,1092637.9,2017-10-27
2017-10-27 10:50:00,1092635.8,2017-10-27
2017-10-27 10:51:00,1092638.55,2017-10-27
2017-10-27 10:52:00,1092639.2,2017-10-27
2017-10-27 10:53:00,1092634.95,2017-10-27
2017-10-27 10:54:00,1092638.2,2017-10-27
2017-10-27 10:55:00,1092635.6,2017-10-27
2017-10-27 10:56:00,1092635.3,2017-10-27
2017-10-27 10:57:00,1092637.75,2017-10-27
2017-10-27 10:58:00,1092636.65,2017-10-27
2017-10-27 10:59:00,1092636.95,2017-10-27
2017-10-27 11:00:00,1092634.35,2017-10-27
2017-10-27 11:01:00,1092636.75,2017-10-27
2017-10-27 11:02:00,1092636.6,2017-10-27
2017-10-27 11:03:00,1092638.2,2017-10-27
2017-10-27 11:04:00,1092636.25,2017-10-27
2017-10-27 11:05:00,1092638.9,2017-10-27
2017-10-27 11:06:00,1092637.55,2017-10-27
2017-10-27 11:07:00,1092638.65,2017-10-27
2017-10-27 11:08:00,1092636.0,2017-10-27
2017-10-27 11:09:00,1092637.5,2017-10-27
2017-10-27 11:10:00,1092638.6,2017-10-27
2017-10-27 11:11:00,1092638.45,2017-10-27
2017-10-27 11:12:00,1092636.8,2017-10-27
2017-10-27 11:13:00,1092636.75,2017-10-27
2017-10-27 11:14:00,1092638.1,2017-10-27
2017-10-27 11:15:00,1092637.7,2017-10-27
2017-10-27 11:16:00,1092639.75,2017-10-27
2017-10-27 11:17:00,1092636.05,2017-10-27
2017-10-27 11:18:00,1092636.5,2017-10-27
2017-10-27 11:19:00,1092638.15,2017-10-27
2017-10-27 11:20:00,1092639.2,2017-10-27
2017-10-27 11:21:00,1092637.75,2017-10-27
2017-10-27 11:22:00,1092641.1,2017-10-27
2017-10-27 11:23:00,1092639.05,2017-10-27
2017-10-27 11:24:00,1092640.4,2017-10-27
2017-10-27 11:25:00,1092639.15,2017-10-27
2017-10-27 11:26:00,1092640.85,2017-10-27
2017-10-27 11:27:00,1092642.7,2017-10-27
2017-10-27 11:28:00,1092643.1,2017-10-27
2017-10-27 11:29:00,1092639.75,2017-10-27
2017-10-27 11:30:00,1092643.25,2017-10-27
2017-10-27 11:31:00,1092646.15,2017-10-27
2017-10-27 11:32:00,1092644.25,2017-10-27
2017-10-27 11:33:00,1092643.9,2017-10-27
2017-10-27 11:34:00,1092645.05,2017-10-27
2017-10-27 11:35:00,1092645.8,2017-10-27
2017-10-27 11:36:00,1092645.6,2017-10-27
2017-10-27 11:37:00,1092644.65,2017-10-27
2017-10-27 11:38:00,1092643.1,2017-10-27
2017-10-27 11:39:00,1092642.05,2017-10-27
2017-10-27 11:40:00,1092641.25,2017-10-27
2017-10-27 11:41:00,1092640.8,2017-10-27
2017-10-27 11:42:00,1092640.75,2017-10-27
2017-10-27 11:43:00,1092642.5,2017-10-27
2017-10-27 11:44:00,1092643.1,2017-10-27
2017-10-27 11:45:00,1092642.95,2017-10-27
2017-10-27 11:46:00,1092641.6,2017-10-27
2017-10-27 11:47:00,1092643.75,2017-10-27
2017-10-27 11:48:00,1092642.35,2017-10-27
2017-10-27 11:49:00,1092644.55,2017-10-27
2017-10-27 11:50:00,1092642.95,2017-10-27
2017-10-27 11:51:00,1092648.0,2017-10-27
2017-10-27 11:52:00,1092647.95,2017-10-27
2017-10-27 11:53:00,1092651.4,2017-10-27
2017-10-27 11:54:00,1092650.25,2017-10-27
2017-10-27 11:55:00,1092648.6,2017-10-27
2017-10-27 11:56:00,1092648.05,2017-10-27
2017-10-27 11:57:00,1092645.6,2017-10-27
2017-10-27 11:58:00,1092646.6,2017-10-27
2017-10-27 11:59:00,1092648.65,2017-10-27
2017-10-27 12:00:00,1092648.95,2017-10-27
2017-10-27 12:01:00,1092651.1,2017-10-27
2017-10-27 12:02:00,1092650.15,2017-10-27
2017-10-27 12:03:00,1092650.0,2017-10-27
2017-10-27 12:04:00,1092650.9,2017-10-27
2017-10-27 12:05:00,1092649.45,2017-10-27
2017-10-27 12:06:00,1092650.1,2017-10-27
2017-10-27 12:07:00,1092649.65,2017-10-27
2017-10-27 12:08:00,1092648.75,2017-10-27
2017-10-27 12:09:00,1092650.05,2017-10-27
2017-10-27 12:10:00,1092647.45,2017-10-27
2017-10-27 12:11:00,1092651.45,2017-10-27
2017-10-27 12:12:00,1092650.9,2017-10-27
2017-10-27 12:13:00,1092649.45,2017-10-27
2017-10-27 12:14:00,1092646.75,2017-10-27
2017-10-27 12:15:00,1092649.1,2017-10-27
2017-10-27 12:16:00,1092645.85,2017-10-27
2017-10-27 12:17:00,1092646.35,2017-10-27
2017-10-27 12:18:00,1092648.65,2017-10-27
2017-10-27 12:19:00,1092648.25,2017-10-27
2017-10-27 12:20:00,1092648.5,2017-10-27
2017-10-27 12:21:00,1092650.05,2017-10-27
2017-10-27 12:22:00,1092650.45,2017-10-27
2017-10-27 12:23:00,1092648.8,2017-10-27
2017-10-27 12:24:00,1092648.85,2017-10-27
2017-10-27 12:25:00,1092648.9,2017-10-27
2017-10-27 12:26:00,1092648.9,2017-10-27
2017-10-27 12:27:00,1092649.75,2017-10-27
2017-10-27 12:28:00,1092651.25,2017-10-27
2017-10-27 12:29:00,1092649.35,2017-10-27
2017-10-27 12:30:00,1092649.75,2017-10-27
2017-10-27 12:31:00,1092650.85,2017-10-27
2017-10-27 12:32:00,1092649.15,2017-10-27
2017-10-27 12:33:00,1092650.35,2017-10-27
2017-10-27 12:34:00,1092649.3,2017-10-27
2017-10-27 12:35:00,1092650.25,2017-10-27
2017-10-27 12:36:00,1092648.4,2017-10-27
2017-10-27 12:37:00,1092650.8,2017-10-27
2017-10-27 12:38:00,1092651.7,2017-10-27
2017-10-27 12:39:00,1092650.9,2017-10-27
2017-10-27 12:40:00,1092650.95,2017-10-27
2017-10-27 12:41:00,1092651.65,2017-10-27
2017-10-27 12:42:00,1092652.85,2017-10-27
2017-10-27 12:43:00,1092652.1,2017-10-27
2017-10-27 12:44:00,1092650.4,2017-10-27
2017-10-27 12:45:00,1092648.4,2017-10-27
2017-10-27 12:46:00,1092653.45,2017-10-27
2017-10-27 12:47:00,1092653.9,2017-10-27
2017-10-27 12:48:00,1092652.7,2017-10-27
2017-10-27 12:49:00,1092653.1,2017-10-27
2017-10-27 12:50:00,1092653.45,2017-10-27
2017-10-27 12:51:00,1092653.8,2017-10-27
2017-10-27 12:52:00,1092653.4,2017-10-27
2017-10-27 12:53:00,1092654.1,2017-10-27
2017-10-27 12:54:00,1092654.45,2017-10-27
2017-10-27 12:55:00,1092654.25,2017-10-27
2017-10-27 12:56:00,1092656.35,2017-10-27
2017-10-27 12:57:00,1092655.0,2017-10-27
2017-10-27 12:58:00,1092653.6,2017-10-27
2017-10-27 12:59:00,1092655.3,2017-10-27
2017-10-27 13:00:00,1092654.7,2017-10-27
2017-10-27 13:01:00,1092652.95,2017-10-27
2017-10-27 13:02:00,1092652.9,2017-10-27
2017-10-27 13:03:00,1092654.2,2017-10-27
2017-10-27 13:04:00,1092653.2,2017-10-27
2017-10-27 13:05:00,1092656.15,2017-10-27
2017-10-27 13:06:00,1092658.05,2017-10-27
2017-10-27 13:07:00,1092658.75,2017-10-27
2017-10-27 13:08:00,1092655.8,2017-10-27
2017-10-27 13:09:00,1092656.9,2017-10-27
2017-10-27 13:10:00,1092657.3,2017-10-27
2017-10-27 13:11:00,1092658.15,2017-10-27
2017-10-27 13:12:00,1092656.2,2017-10-27
2017-10-27 13:13:00,1092658.15,2017-10-27
2017-10-27 13:14:00,1092656.25,2017-10-27
2017-10-27 13:15:00,1092655.7,2017-10-27
2017-10-27 13:16:00,1092656.15,2017-10-27
2017-10-27 13:17:00,1092656.35,2017-10-27
2017-10-27 13:18:00,1092656.7,2017-10-27
2017-10-27 13:19:00,1092656.3,2017-10-27
2017-10-27 13:20:00,1092657.4,2017-10-27
2017-10-27 13:21:00,1092655.35,2017-10-27
2017-10-27 13:22:00,1092656.4,2017-10-27
2017-10-27 13:23:00,1092655.45,2017-10-27
2017-10-27 13:24:00,1092654.6,2017-10-27
2017-10-27 13:25:00,1092654.6,2017-10-27
2017-10-27 13:26:00,1092654.25,2017-10-27
2017-10-27 13:27:00,1092655.85,2017-10-27
2017-10-27 13:28:00,1092655.4,2017-10-27
2017-10-27 13:29:00,1092654.7,2017-10-27
2017-10-27 13:30:00,1092654.75,2017-10-27
2017-10-27 13:31:00,1092655.15,2017-10-27
2017-10-27 13:32:00,1092656.85,2017-10-27
2017-10-27 13:33:00,1092654.95,2017-10-27
2017-10-27 13:34:00,1092654.15,2017-10-27
2017-10-27 13:35:00,1092655.9,2017-10-27
2017-10-27 13:36:00,1092656.4,2017-10-27
2017-10-27 13:37:00,1092657.3,2017-10-27
2017-10-27 13:38:00,1092658.2,2017-10-27
2017-10-27 13:39:00,1092658.55,2017-10-27
2017-10-27 13:40:00,1092657.85,2017-10-27
2017-10-27 13:41:00,1092659.95,2017-10-27
2017-10-27 13:42:00,1092659.15,2017-10-27
2017-10-27 13:43:00,1092658.85,2017-10-27
2017-10-27 13:44:00,1092661.45,2017-10-27
2017-10-27 13:45:00,1092660.2,2017-10-27
2017-10-27 13:46:00,1092661.65,2017-10-27
2017-10-27 13:47:00,1092660.25,2017-10-27
2017-10-27 13:48:00,1092660.3,2017-10-27
2017-10-27 13:49:00,1092661.8,2017-10-27
2017-10-27 13:50:00,1092661.05,2017-10-27
2017-10-27 13:51:00,1092661.25,2017-10-27
2017-10-27 13:52:00,1092661.25,2017-10-27
2017-10-27 13:53:00,1092662.25,2017-10-27
2017-10-27 13:54:00,1092662.6,2017-10-27
